!	¡I
!!	¡I¡I
!!!	¡I¡I¡I
H‚ cloporte, prosterne-toi devant ton dieu!	³Ş¡A³IÂÎ¡Aµ¹§Ú¸÷¤U«ô§Aªº¯«¡I
H‚l… villageois connaissez-vous la maison du sieur TAZAAR?	³Ş¡I§Aª¾¹D¶ğÂÄº¸¤j¤H¦í­ş¶Ü¡H
H”hlung	¥W¬}
I am the true king here! only my crown can return me to my kingly stature!	§Ú¤~¬O¯u¥¿ªº°ê¤ı¡I¬Ó«a¯àÅı§ÚÅÜ¦^­ì¼Ë¡I
I'm sorry, friend, the demon knocked me out and i have to recover.	©êºpªB¤Í¡A§Ú³Q´cÅ]¥´·w¤F¡A±o½w½w¡K¡K
I'm the true king of this place! only my crown can give me back my right size	§Ú¤~¬O¯u¥¿ªº°ê¤ı¡I¬Ó«a¯àÅı§ÚÅÜ¦^­ì¼Ë¡I
INTERCAMBIO DE OBJETOS	¥æ´«¹D¨ã
INVENTAIRE	¹D¨ãÄæ
INVENTAR	¹D¨ãÄæ
INVENTARIO	¹D¨ãÄæ
INVENTORY	¹D¨ãÄæ
Il Principe Buffone prigioniero	³Q¥}¸Tªº¤p¤¡¤ı¤l
Il faudrait les faire rire un peu, ces deux pauvres bougres!	±o·Q¿ìªk³r³o¨â­Ó¦Ñ³Ã¥ë¯º¤@¤U¡I
Il n'y aurait pas un tr‚sor … glaner dans le coin?	³oªşªñ·|¤£·|¦³Ä_ÂÃ°Ú¡H
Il s'agit de neutraliser amoniak et ses deux acolytes en leur faisant absorber de l'‚lixir de gentillesse par l'interm‚diaire de leur plat favori. pour capturer les cafards, qu'on peut faire sortir de l'oeil en tirant sur la langue tandis qu'on passe par les oreilles, il vaut mieux enfiler un gant. amoniak lui, n'aime que les coccinelles, mais un cafard habilement grim‚ peut donner le change...	­n¨î¥ñªü¼¯¥§¨È©M¥L¨â­Ó¤â¤U¡A±o§â¤Íµ½ÃÄ¤ô²V¶i¥L­Ì³Ì·R¦YªºªF¦è¸Ì¡CÁ­½¸«ÜÃø·d¡A³Ì¦nÀ¹¤W¤â®M§ì¡Cªü¼¯¥§¨È¥u·R¿]ÂÎ¡A¦ı¥´§ê±o¹³ªºÁ­½¸À³¸Ó¤]¯àÃ©²V¹LÃö¡C
Imperdible	§O°w
Imprint	©İ¦L
Impronta	©İ¦L
Incudine	ÅK¯z
Inflador	¥´®ğµ©
Ippocampo	®ü°¨
It smells like honey. can you eatit?	»D°_¨Ó¹³¸Á»e¡A¯à¦Y¶Ü¡H
Jar	Åø¤l
Jaula	Å¢¤l
Je voudrais bien mais je n'y vois rien depuis qu'amoniak m'a “t‚ mes 2 yeux!	§Ú¤]·Q¡A¦ıªü¼¯¥§¨È°½¨«§ÚÂù²´¡A¬İ¤£¨£
Jet d'eau	¤ô¬W
Jet of water	¤ô¬W
Jud¡a	¨§¤l
Jugador de baloncesto	Äx²y­û
Kael	³Íº¸
Kamin	·Ï§w
Katapult	¼u®g¾¹
Kaugummi	¤f­»¿}
Kegel	«OÄÖ²y²~
Keller	¦aµ¢
Kerze	ÄúÀë
Kette	Ãì¤l
Kettle	¯ù³ı
Key	Æ_°Í
Keyhole	Âê¤Õ
Kind elixir	¤¯·OÃÄ¤ô
Kindelexir	¤¯·OÃÄ¤ô
Kindelixir	¤¯·OÃÄ¤ô
Kiste	²°¤l
Knochen	°©ÀY
Knopf	¶}Ãö
Koch	¼p®v
Kopf	ÀY
Korb	Äx¤l
Korn	ºØ¤l
Krake	³¹³½
Krokodil	Æs³½
Krone	¬Ó«a
Kr”te	ÃÊßï
Kuckucksuhr	©B©BÄÁ
K™nnen sie uns bitte hier durchlassen? das w„re wirklich nett...	¥i¥HÅı§Ú­Ì¹L¥h¶Ü¡H
K„fig	Å¢¤l
L'ignobile Amoniak	¨õ¦Hªºªü¼¯¥§¨È
L'ignoble Amoniak	¨õ¦Hªºªü¼¯¥§¨È
L'outil contenu dans le coffre n'est accessible que par l'action combin‚e des deux gobliins. winkle l'ouvre avec l'aide d'une puissante ‚toile de mer tandis que fingus en pr‚lŠvele contenu depuis le pont avant. il y accŠde grƒce au coquillage qui convoite le poisson, lui-mˆme d‚rang‚ par le mouvement du gouvernail et effray‚ par une murŠne.	½c¤l¸Ìªº¤u¨ã±o¾a¨â°¦¤pºëÆF¦X§@¤~®³±o¨ì¡C·Å¥i¥Î¤@°¦¤j®ü¬P§â½c¤l¼À¶}¡Aªâ®æ´µ´µ«h±q«e¥ÒªO®³ªF¦è¡A¥L±o¾a¨©´ß¥h·m¨º±ø³½¡A³½·|³Q²ëªºÂ\°ÊÀ~¨ì¡A¤S³Q®üÅÁÀ~¤@¸õ¡A¤~·|¶Ã°ÊÅı¨©´ß±o¤â¡C
LLave	Æ_°Í
Lamp fish	¿O³½
Lampenfisch	¿O³½
Lance	ªø¥Ù
Lancia	ªø¥Ù
Langue	¦ŞÀY
Lantern	´£¿O
Lanza	ªø¥Ù
Lanze	ªø¥Ù
Lastra	¥ÛªO
Lavagna nera	¶ÂªO
Le Prince Bouffon prisonnier	³Q¥}¸Tªº¤p¤¡¤ı¤l
Le sort ne t'accorde pas de joker ici !!	©R¹B¤£Åı§A¦b³o¸Ì®³´£¥Ü¡I
Legna	®ã°ï
Lehm	ªd¤Ú
Lehnsessel	§ß¤â´È
Leiterknopf	¾÷Ãö
Lengua	¦ŞÀY
Leone	·à¤l
Lesezeichen	®ÑÅÒ
Leuchtfeuer	´£¿O
Le¢n	·à¤l
Lichtstrahl	¥ú½u
Lid	»\¤l
Lie down, you fake ninja turtle!	½ö¤U¡A§A³o°¦°²§ÔªÌÀt¡I
Lima	¾V¤M
Lime	¾V¤M
Lingua	¦ŞÀY
Lion	·à¤l
Little prince, please! you're holding us up. come on!	¤p¤ı¤l¡A«ô°U§O©ì®É¶¡¡A§Ö¸ò¤W¡I
Little prince, please! you're keeping us. come on!	¤p¤ı¤l¡A«ô°U§O©ì®É¶¡¡A§Ö¸ò¤W¡I
Llave	Æ_°Í
Llave grande	¤jÆ_°Í
Llave redonda	¶ê§ÎÆ_°Í
Loch	¬}
Lodo	ªd¤Ú
Losa	¥ÛªO
L mpara	´£¿O
L piz	¹]µ§
L”we	·à¤l
MOVEMENT	²¾°Ê
MUSIC Charles CALLET	­µ¼Ö Charles CALLET
Macchina	¾÷¾¹
Machine	¾÷¾¹
Madriguera	¬}¥Ş
Magicien	§Å®v
Mago	§Å®v
Mains	Âù¤â
Maionese	¬ü¤D´ş
Maire	§øªø
Mairie	§ø¤½©Ò
Mais pas du tout mon brave, je prends mon bain c'est tout!	¤~¨S¦³¡A¦Ñ¥S¡A§Ú¥u¬O¦b¬~¾ş¦Ó¤w¡C
Maison	©Ğ¤l
Maler	µe®a
Manant, il ne te reste qu'un joker!	§A³o²Â³J¡A¥u³Ñ¤@­Ó´£¥Ü°Õ¡I
Manche	¤M¬`
Mango	¤M¬`
Mani	Âù¤â
Manico	¤M¬`
Maniglia	¤M¬`
Manos	Âù¤â
Manque-t'il encore quelque chose?	ÁÙ¯Ê¤°»òªF¦è¶Ü¡H
Mantice	­·½c
Manzana	Ä«ªG
Manzanas	Ä«ªG
Marameo	§ê°­Áy
Marque-page	®ÑÅÒ
Maschine	¾÷¾¹
Match	¤õ®ã
Matches	¤õ®ã
Matita	¹]µ§
Maulwurf	ÅÄ¹«
Maus	¦Ñ¹«
Mayonesa	¬ü¤D´ş
Mayonnaise	¬ü¤D´ş
Mayor	§øªø
Meat	¦×
Meat ball	¦×¤Y
Meat balls	¦×¤Y
Mecanismo	¾÷Ãö
Meccanismo	¾÷Ãö
Mechanism	¾÷Ãö
Mechanismus	¾÷Ãö
Meerjungfer	¬ü¤H³½
Mela	Ä«ªG
Mele	Ä«ªG
Mermaid	¬ü¤H³½
Messere, ha ancora tre jolly!	ª±®a¤j¤H¡A§A¦³¤T­Ó´£¥Ü¡I
Messergriff	¤M¬`
Messire joueur, vous avez trois jokers!	ª±®a¤j¤H¡A§A¦³¤T­Ó´£¥Ü¡I
Mi querido amigo, ¨se lo quieren comer cocido? ­le libraremos de ello!	¥i¼¦ªºªB¤Í¡A¥L­Ì·QµN¤F§A¡I§Ú­Ì±Ï§A
Miel	¸Á»e
Miele	¸Á»e
Mire en la carta de colores adjunta al software y escriba el n£mero correspondiente al color de la casilla: 1 - rojo 2 - negro 3 - amarillo 4 - verde 5 - azul 6 - blanco 7 - gris 8 - malva	¬d¦â¥d¡A¿é¤J®æ¤lÃC¦â¥N½X¡G1¬õ2¶Â3¶À4ºñ5ÂÅ6¥Õ7¦Ç8µµ
Mire en la carta de colores adjunto al software y escriba el n£mero correspondiente al campo de color: 1 - rojo 2 - negro 3 - amarillo 4 - verde 5 - azul 6 - blanco 7 - gris 8 - malva	¬d¦â¥d¡A¿é¤J®æ¤lÃC¦â¥N½X¡G1¬õ2¶Â3¶À4ºñ5ÂÅ6¥Õ7¦Ç8µµ
Molde	©İ¦L
Mole	ÅÄ¹«
Molla	¼uÂ®
Molletta	¦ç§¨
Mon pauvre ami, il veulent vous faire cuire? Nous allons vous tirer de l…!	¥i¼¦ªºªB¤Í¡A¥L­Ì·QµN¤F§A¡I§Ú­Ì±Ï§A
Mondadientes	¤úÅÒ
Mont¢n de le¤a	®ã°ï
Moray eel	®üÅÁ
Mosquito	°A¤l
Mouse	¦Ñ¹«
Moustique	°A¤l
Mud	ªd¤Ú
Muelle	¼uÂ®
Murena	®üÅÁ
Mur„ne	®üÅÁ
MurŠne	®üÅÁ
Muschel	¨©´ß
Mushroom	Ä¨Û£
My poor friend, they want to cook you! we'll get you out of there...	¥i¼¦ªºªB¤Í¡A¥L­Ì·QµN¤F§A¡I§Ú­Ì±Ï§A
M quina	¾÷¾¹
M„nnchen	³Ã¥ë
M‚canisme	¾÷Ãö
Mtze	´U¤l
NO, I respect the art of cooking far too much!	¤£¦æ¡A§Ú¤Ó´L­«¼pÃÀ¤F¡K¡K
NO, I respect the art of cooking far too much...	¤£¦æ¡A§Ú¤Ó´L­«¼pÃÀ¤F¡K¡K
NO, coler… tutto e lui la getter…!	¤£¦æ¡A·|ºw¥X¨Ó¡A¥L·|§â¥¦¥á±¼¡K¡K
NO, it will spill and he'll throw it away!	¤£¦æ¡A·|ºw¥X¨Ó¡A¥L·|§â¥¦¥á±¼¡K¡K
NO, it will spill, and he will throw it away!	¤£¦æ¡A·|ºw¥X¨Ó¡A¥L·|§â¥¦¥á±¼¡K¡K
NO, respeto demasiado el talento culinario.	¤£¦æ¡A§Ú¤Ó´L­«¼pÃÀ¤F¡K¡K
NO, va a derramarse y la va a tirar...	¤£¦æ¡A·|ºw¥X¨Ó¡A¥L·|§â¥¦¥á±¼¡K¡K
NO,ho troppo rispetto per l'arte culinaria!	¤£¦æ¡A§Ú¤Ó´L­«¼pÃÀ¤F¡K¡K
NOBLE bUrgomaster, whose is that lovely HOUSE WHICH REFUSES TO OPEN?	´L¶Qªº§øªø¡A¨º¶¡¥´¦º¤£¶}ªº©Ğ¤l¬O½Öªº¡H
NON ‡a va d‚gouliner et il va la balancer...	¤£¦æ¡A·|ºw¥X¨Ó¡A¥L·|§â¥¦¥á±¼¡K¡K
NON, je suis trop respectueux du travail culinaire...	¤£¦æ¡A§Ú¤Ó´L­«¼pÃÀ¤F¡K¡K
NOTE-PAD	µ§°O¥»
NOTEPAD	µ§°O¥»
NOTIZBLOCK	µ§°O¥»
Na, worauf wartest du denn noch? in die H„nde gespuckt, und los!	ÁÙµ¥¤°»ò¡H§Ö¥h°µ¨Æ¡AÃi°©ÀY¡I
Narr	¤p¤¡
Narrenprinz	¤p¤¡¤ı¤l
Net	®·½ººô
Niemals! durch eure schuld bin ich hier im reich der toten gefangen!	¤£¡I§Ú·|§x¦b­ß¬É³£¬O§A­Ì®`ªº¡I
Ninfa	¥P¤l
No problem! I'll play you a piece i composed myself...	¨S°İÃD¡I³o­º¬O§Ú¦Û¤v¼gªº¦±¤l¡K¡K
Non sei fortunato, niente jolly...	©R¹B¤£Åı§A¦b³o¸Ì®³´£¥Ü¡I
Nota	­µ²Å
Notabile	¶m²Ô
Notable	¶m²Ô
Note	­µ²Å
Now, noble magician, what can we do?	´L¶QªºÅ]ªk®v¡A²{¦b§Ú­Ì¯à°µ¤°»ò¡H
Nymph	¥P¤l
Nymphe	¥P¤l
OBJEKTAUSTAUSCH	¥æ´«¹D¨ã
OK, du zwerg, aber erst mal 'nen guten schluck und appetithappen her!	¦n°Ú¤p¸G¤l¡A¥ı®³¦n°s¨Ó¦A»¡¡I
OPTIONS	¿ï¶µ
ORTSWECHSEL	²¾°Ê
Occhio	²´·ú
Octopus	³¹³½
Oeil	²´·ú
Oeuf	³J
Oh OUI, grand merci! je peux vous ouvrir la moiti‚ de la sortie!	³á¡A¤ÓÁÂÁÂ¤F¡I¤£¹L§Ú¥u¯à¶}¤@¥bªº¸ô¡K¡K
Oh ja, allerliebsten dank! aber ich kann's euch nur zu h„lfte aufmachen!	³á¡A¤ÓÁÂÁÂ¤F¡I¤£¹L§Ú¥u¯à¶}¤@¥bªº¸ô¡K¡K
Oh yes, many thanks! but i can only open a part of the issue...	³á¡A¤ÓÁÂÁÂ¤F¡I¤£¹L§Ú¥u¯à¶}¤@¥bªº¸ô¡K¡K
Oh yes, many thanks! but i can only solve part of the problem...	³á¡A¤ÓÁÂÁÂ¤F¡I¤£¹L§Ú¥u¯à¶}¤@¥bªº¸ô¡K¡K
Oh, i'm fed up going round in circles! show us the way out, centipede!	­ü¡AÂ¶°éÂ¶·Ğ¤F¡I¸¼°G¡A±a¸ô¥X¥h¡I
Ohr	¦Õ¦·
Oiseaux	³¾¸s
Ojo	²´·ú
Old men	¦ÑÀY
Ometto	³Ã¥ë
Opening	¶}¤f
Orecchio	¦Õ¦·
Oreille	¦Õ¦·
Oreja	¦Õ¦·
Orifice	¶}¤f
Orificio	¶}¤f
Orifizio	¶}¤f
OrniŠre	¨®Âá
Orologeria	ÄÁ¿ö©±
Os	°©ÀY
Osso	°©ÀY
Oto	¼Ú¦«
Otto	¼Ú¦«
Oui! Il faut r‚veiller la braise … l'aide du soufflet...	¹ï¡I­n¥Î­·½c§â¤õİµ©ô¡C
Oumkapok - lover of meatballs	¯Î¥dªi¡A¦×¤Y·R¦nªÌ
Oumkapok, amante di polpette	¯Î¥dªi¡A¦×¤Y·R¦nªÌ
Oumkapok, amateur de boulettes	¯Î¥dªi¡A¦×¤Y·R¦nªÌ
Oumkapok, der Boulettenfreund	¯Î¥dªi¡A¦×¤Y·R¦nªÌ
Oumkapok, lover of meatballs	¯Î¥dªi¡A¦×¤Y·R¦nªÌ
Ouverture	¶}¤f
PIEDS DE NEZ	§ê°­Áy
PROGRAMMING Roland LACOSTE	µ{¦¡ Roland LACOSTE
PSS,i'M WITH YOU! TO GET TO THE DEMON'S tHrone you need the key of the chest with the carved fish. bring me its imprint and a piece of metal, and i'll forge you a key.	¼N¡I§Ú®¼§A¡I­n¶i´cÅ]¤ı®y¡A±o­n¨è³½ÂdªºÆ_°Í¡Cµ¹§Ú©İ¦L©MÅK¤ù¡A§ÚÀ°§A¥´¡I
PSS,i'M WITH YOU! TO GET TO THE DEMON'S tHrone you need the key to the chest with the carved fish. bring me its imprint and a piece of metal, and i'll forge you a key.	¼N¡I§Ú®¼§A¡I­n¶i´cÅ]¤ı®y¡A±o­n¨è³½ÂdªºÆ_°Í¡Cµ¹§Ú©İ¦L©MÅK¤ù¡A§ÚÀ°§A¥´¡I
Painter	µe®a
Palan	¦Q¨®
Palillo	¹ª´Î
Palla	«OÄÖ²y
Pallone	®ğ²y
Panier	Äx¤l
Para acceder al reino de los muertos hay que dar en casa de tazaar con la mezcla que si est  a la buena temperatura abre todas las puertas. para conseguirlo los gobliins tendr n que hostigar un poco al mago para recuperar unos cuantos objetos, entre ellos al que libere al esqueleto.	­n¥h­ß¬É¡A±o¥ı¦b¶ğÂÄº¸¨º¸Ì§ä¨ì¨º²~ÃÄ¤ô¡A¥[¼ö¨ì¹ïªº·Å«×´N¯à¥´¶}©Ò¦³ªºªù¡C±o·Q¿ìªk·S´o³o¦ìÅ]ªk®v¡A¤~¯à¶¶¤â®³¨ì´X¼ËªF¦è¡A¨ä¤¤¤@¼Ë¯à§â¾uÅ\©ñ¥X¨Ó¡C
Paranco	¦Q¨®
Parchemin	¦Ï¥Ö¯È
Parchment	¦Ï¥Ö¯È
Patience ami forgeron, nous cherchons ce que tu nous a demand‚...	­@¤ßÂI¡AÅK¦K¡A§Ú­Ì·|§ä§A­nªº¡K¡K
Patience, good blacksmith, we'll look for what you asked...	­@¤ßÂI¡AÅK¦K¡A§Ú­Ì·|§ä§A­nªº¡K¡K
Pearl	¬Ã¯]
Peintre	µe®a
Pelda¤o	±è¶¥
Pelota	®ğ²y
Pencil	¹]µ§
Penna	¦Ğ¤ò
Pennello	µeµ§
Pepe	­J´Ô
Pepper	­J´Ô
Peque¤o princ¡pe, por favor, no os retras‚is , ­venga!	¤p¤ı¤l¡A«ô°U§O©ì®É¶¡¡A§Ö¸ò¤W¡I
Pergamena	¦Ï¥Ö¯È
Pergament	¦Ï¥Ö¯È
Pergamino	¦Ï¥Ö¯È
Perla	¬Ã¯]
Perle	¬Ã¯]
Perro	ª¯
Pescado-l mpara	¿O³½
Pesce spada	¼C³½
Pesceluce	¿O³½
Pez espada	¼C³½
Pez-l mpara	¿O³½
Pfeffer	­J´Ô
Pfeife	µÒ¤æ
Pflanze	´Óª«
Pftze	¤ôºÚ
Phare	¨®¿O
Pianta	´Óª«
Picaporte	¤M¬`
Piedra	¥ÛÀY
Pierre	¥ÛÀY
Pietra	¥ÛÀY
Pieuvre	³¹³½
Pilz	Ä¨Û£
Pimienta	­J´Ô
Pince	¦ç§¨
Pinceau	µeµ§
Pincel	µeµ§
Pinsel	µeµ§
Pintor	µe®a
Pinza	¦ç§¨
Piolo	±è¶¥
Piovra	³¹³½
Pipa	µÒ¤æ
Pipe	µÒ¤æ
Piranha	­¹¤H³½
Pira¤a	­¹¤H³½
Pira¤ha	­¹¤H³½
Pittore	µe®a
Plant	´Óª«
Planta	´Óª«
Plante	´Óª«
Platte	¥ÛªO
Pluma	¦Ğ¤ò
Plume	¦Ğ¤ò
Poign‚e	¤M¬`
Point	¤M¦y
Pointe	¤M¦y
Poisson-lampe	¿O³½
Poivre	­J´Ô
Polea	¦Q¨®
Polpetta	¦×¤Y
Polpette	¦×¤Y
Poltrona	§ß¤â´È
Pomme	Ä«ªG
Pommes	Ä«ªG
Pompa per bici	¥´®ğµ©
Pompe … v‚lo	¥´®ğµ©
Pool	¤ôºÚ
Porta	ªù
Porte	ªù
Portrait	¨v¹³
Portr„t	¨v¹³
Possessed buffoon	ªş¨­¤p¤¡
Pot	º£Åø
Pot hole	¨®Âá
Pots	¸J
Poule	Âû
Pour acc‚der au royaume des morts il faut trouver chez tazaar la mixture qui, … la bonne temp‚rature, ouvre toutes les portes. pour cela les gobliins devront ‚nerver quelque peu le magicien afin de r‚cup‚rer quelques objets dont celui qui d‚coincera le squelette...	­n¥h­ß¬É¡A±o¥ı¦b¶ğÂÄº¸¨º¸Ì§ä¨ì¨º²~ÃÄ¤ô¡A¥[¼ö¨ì¹ïªº·Å«×´N¯à¥´¶}©Ò¦³ªºªù¡C±o·Q¿ìªk·S´o³o¦ìÅ]ªk®v¡A¤~¯à¶¶¤â®³¨ì´X¼ËªF¦è¡A¨ä¤¤¤@¼Ë¯à§â¾uÅ\©ñ¥X¨Ó¡C
Pouvez-vous nous c‚der le passage s'il-vous-plaŒt?	¥i¥HÅı§Ú­Ì¹L¥h¶Ü¡H
Povero diavolo, non hai pi— jolly!!!	¥i¼¦ÂÎ¡A§Aªº´£¥Ü¥Î¥ú°Õ¡I
Pozo	¤ô¤«
Pozzanghera	¤ôºÚ
Pozzo	¤ô¤«
Prince Bouffon	¤p¤¡¤ı¤l
Prince Buffoon	¤p¤¡¤ı¤l
Prince Buffoon - a prisoner	³Q¥}¸Tªº¤p¤¡¤ı¤l
Prince Buffoon a prisonner	³Q¥}¸Tªº¤p¤¡¤ı¤l
Prince buffoon, having absorbed a magic mushroom, draws the gobliins into his playful dream. to get him out of the bubble in which the gobliins have emprisoned him, they must find a safety pin, using a cover as a catapult, after standing on it with a bowling ball.	¤p¤¡¤ı¤l¦Y¤FÁû°g¤ÛÄ¨Û£¡A§â¨â°¦¤pºëÆF©ì¶i¥Lªº¹CÀ¸¹Ú¸Ì¡C¥L­Ì±o¥ı§â¥LÃö¶iªwªw¸Ì¡A¦A·Q¿ìªk§Ë®Ú¦w¥ş§O°w©ñ¥L¥X¨Ó¡G½òµÛ«OÄÖ²y¯¸¤WÁç»\¡A§Q¥Î¼u¤O§â§O°w¼u¥X¨Ó¡C
Prince buffoon, having absorbed a magic mushroom, draws the gobliins into his playful dream. to get him out of the bubble in which the gobliins have imprisoned him, they must find a safety pin, using a cover as a catapult, after standing on it with a bowling ball.	¤p¤¡¤ı¤l¦Y¤FÁû°g¤ÛÄ¨Û£¡A§â¨â°¦¤pºëÆF©ì¶i¥Lªº¹CÀ¸¹Ú¸Ì¡C¥L­Ì±o¥ı§â¥LÃö¶iªwªw¸Ì¡A¦A·Q¿ìªk§Ë®Ú¦w¥ş§O°w©ñ¥L¥X¨Ó¡G½òµÛ«OÄÖ²y¯¸¤WÁç»\¡A§Q¥Î¼u¤O§â§O°w¼u¥X¨Ó¡C
Prince buffoon, having eaten a magic mushroom, draws the gobliins into his playful dream. to get him out of the bubble in which the gobliins enclose him, they must use a safety pin. they find one by using a cover as a catapult, after standing on it with a bowling ball.	¤p¤¡¤ı¤l¦Y¤FÁû°g¤ÛÄ¨Û£¡A§â¨â°¦¤pºëÆF©ì¶i¥Lªº¹CÀ¸¹Ú¸Ì¡C¥L­Ì±o¥ı§â¥LÃö¶iªwªw¸Ì¡A¦A·Q¿ìªk§Ë®Ú¦w¥ş§O°w©ñ¥L¥X¨Ó¡G½òµÛ«OÄÖ²y¯¸¤WÁç»\¡A§Q¥Î¼u¤O§â§O°w¼u¥X¨Ó¡C
Principe Buffone	¤p¤¡¤ı¤l
Profuma di mielE. Š buono da mangiare?	»D°_¨Ó¹³¸Á»e¡A¯à¦Y¶Ü¡H
Pr¡ncipe Buf¢n	¤p¤¡¤ı¤l
Puerta	ªù
Puits	¤ô¤«
Pulpo	³¹³½
Pulsante	¶}Ãö
Punaise	¹Ï°v
Punaises	¹Ï°v
Punta	¤M¦y
Puntina	¹Ï°v
Puntine	¹Ï°v
P jaros	³¾¸s
Qu'est-ce que vous faites l…-dedans?	§A¦b¸Ì­±·F¹À¡H
Questo demone, sorto dal nulla ,ha deposto il re e regna al suo posto.	¨e¿y¤F¤ı¦ì¡A´«¦Û¤v·í®a¡K¡K
Queue	§À¤Ú
Quilles	«OÄÖ²y²~
REGLAGES	¿ï¶µ
REGOLAZIONE	¿ï¶µ
Raggio	¥ú½u
Rama	¾ğªK
Ramo	¾ğªK
Rathaus	§ø¤½©Ò
Rat¢n	¦Ñ¹«
Rauch	·ÏÃú
Ray	¥ú½u
Rayo de sol	¥ú½u
Rayon	¥ú½u
Recipiente	®e¾¹
Red de mariposas	®·½ººô
Reloj de arena	¨Fº|
Relojer¡a	ÄÁ¿ö©±
Ressort	¼uÂ®
Rete per farfalle	®·½ººô
Retrato	¨v¹³
Riese	¥¨¤H
Ritratto	¨v¹³
Roca	©¥¥Û
Roccia	©¥¥Û
Rocher	©¥¥Û
Rock	©¥¥Û
Rohr	¤ôºŞ
Rope	Ã·¤l
Rospo	ÃÊßï
Rudder	²ë
Rung	±è¶¥
Rustik	¾|´µ§J
R‚cipient	®e¾¹
Rstung	²¯¥Ò
S'il-vous-PLaŒt madame, indiquez-nous le chemin vers la salle du tr“ne!	«ô°U¡A¤Ò¤H¡A½Ğ§i¶D§Ú­Ì¥h¤ı®yÆUªº¸ô¡I
S'il-vous-plaŒt brave g‚ant... r‚veillez-vous!	«ô°U¡A¦n¤ßªº¥¨¤H¡A¿ô¿ô§a¡I
SCAMBIO DI OGGETTI	¥æ´«¹D¨ã
SPOSTAMENTO	²¾°Ê
Sabio	¾ÇªÌ
Sablier	¨Fº|
Safety pin	§O°w
Saggio	¾ÇªÌ
Sal	ÆQ
Salame	­»¸z
Salchich¢n	­»¸z
Sale	ÆQ
Salt	ÆQ
Salut collŠgue! alors on a r‚ussi?	¼K¡A§A¦n°Ú¡I¦³¶i®i¶Ü¡H
Salut l'artisan, on n'a pas tout trouv‚ mais ‡a vient...	ÅK¦K§A¦n¡AÁÙ¨S§ä»ô¡A¦ı§Ö¤F¡K¡K
Salut, handwerksmeister, haben noch nicht alles gefunden,aber's kommt noch!	ÅK¦K§A¦n¡AÁÙ¨S§ä»ô¡A¦ı§Ö¤F¡K¡K
Salz	ÆQ
Sanduhr	¨Fº|
Sapo	ÃÊßï
Sassofonista	ÂÄ§J´µ­·¤â
Saucisson	­»¸z
Sausage	­»¸z
Savant	¾ÇªÌ
Saxofonista	ÂÄ§J´µ­·¤â
Saxophonist	ÂÄ§J´µ­·¤â
Saxophoniste	ÂÄ§J´µ­·¤â
Scafandro	¼ç¤ô¦ç
Scaphandre	¼ç¤ô¦ç
Scarafaggio	Á­½¸
Sceau	¦L³¹
Schabe	Á­½¸
Schauen Sie auf dem der Software beiliegenden Farbraster nach und tippen Sie die der jeweiligen Farbe zugeh”rige Zahl ein: 1 - rot 2 - schwarz 3 - gelb 4 - grn 5 - blau 6 - weiá 7 - grau 8 - malvenfarbig	¬d¦â¥d¡A¿é¤J®æ¤lÃC¦â¥N½X¡G1¬õ2¶Â3¶À4ºñ5ÂÅ6¥Õ7¦Ç8µµ
Scheinwerfer	¨®¿O
Scheletro	¾uÅ\
Schlagloch	¨®Âá
Schlagstock	¹ª´Î
Schloss	Âê¤Õ
Schlssel	Æ_°Í
Schmied	ÅK¦K
Schrank	Âd¤l
Schwamm	®üºø
Schwanz	§À¤Ú
Schwarzy	ªü¿Õ
Schwertfisch	¼C³½
Sch„del	¾uÅ\ÀY
Scientist	¾ÇªÌ
Scodelle	¸J
Scopa	±½§â
Seahorse	®ü°¨
Seal	¦L³¹
Seed	ºØ¤l
Seepferdchen	®ü°¨
Seestern	®ü¬P
Segnalibro	®ÑÅÒ
Sel	ÆQ
Sello	¦L³¹
Seltsam, ein auge in dem Sch„del!	©_©Ç¡A¾uÅ\¸Ì¦³°¦²´·ú¡I
Seme	ºØ¤l
Semilla	ºØ¤l
Serratura	Âê¤Õ
Serrure	Âê¤Õ
Se¤alador	®ÑÅÒ
Sgabello	¹¹¤l
Shell	¨©´ß
Sicherh.nadel	§O°w
Sicherheitsnadel	§O°w
Sie haben drei Joker frei!	ª±®a¤j¤H¡A§A¦³¤T­Ó´£¥Ü¡I
Siegel	¦L³¹
Sigillo	¦L³¹
Sill¢n	§ß¤â´È
Sirena	¬ü¤H³½
SirŠne	¬ü¤H³½
Skeleton	¾uÅ\
Skelett	¾uÅ\
Skittles	«OÄÖ²y²~
Skull	¾uÅ\ÀY
Smoke	·ÏÃú
Soka	¯Á¥d
Solco	¨®Âá
Soplillo	­·½c
Sorry, but you must help us reCover our freedom!	©êºp¡A¦ı§A­Ì±oÀ°§Ú­Ì­«Àò¦Û¥Ñ¡I
Sotterraneo	¦a¹D
Soufflet	­·½c
Souris	¦Ñ¹«
Souterrain	¦a¹D
Spada	¼C
Spilla	§O°w
Spitze	¤M¦y
Sponge	®üºø
Spring	¼uÂ®
Spring key	¶ê§ÎÆ_°Í
Sprosse	±è¶¥
Spugna	®üºø
Squelette	¾uÅ\
Stalopicus	¥v¶ğ¬¥¤ñ®w´µ
Stalopikus	¥v¶ğ¬¥¤ñ®w´µ
Star	¬P¬P
Starfish	®ü¬P
Statua	ÀJ¹³
